fold,epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
3,48,3.9e-07,0.009232,0.997078,0.051127,0.987968,0.988083,0.999419,0.997251,0.97868,0.979082,0.997197,0.976105,0.975937,44.35
4,1,9.99e-05,0.417548,0.810056,0.273418,0.884153,0.879168,0.95557,0.842612,0.925722,0.91904,0.854603,0.770984,0.768312,44.02
4,2,9.961e-05,0.318138,0.866867,0.233343,0.900309,0.903846,0.973343,0.93677,0.863824,0.873158,0.931751,0.802748,0.800614,44.22
4,3,9.911e-05,0.257587,0.892651,0.169967,0.931935,0.931058,0.981826,0.9189,0.944979,0.943543,0.920912,0.864167,0.863872,44.05
4,4,9.843e-05,0.219486,0.909583,0.137691,0.947748,0.947405,0.988345,0.940893,0.954608,0.954007,0.941655,0.895582,0.895497,43.94
4,5,9.755e-05,0.196716,0.919639,0.191421,0.921623,0.925684,0.98951,0.975945,0.867263,0.880347,0.972994,0.848259,0.843239,43.82
4,6,9.649e-05,0.172083,0.931758,0.111341,0.959436,0.960081,0.993597,0.975258,0.943604,0.94537,0.974432,0.919331,0.918872,43.91
4,7,9.524e-05,0.147645,0.941212,0.171795,0.93056,0.934585,0.994613,0.991753,0.869326,0.88365,0.990596,0.867637,0.861115,43.89
4,8,9.382e-05,0.139607,0.945423,0.110213,0.958061,0.959005,0.994285,0.980756,0.935351,0.938199,0.979827,0.917066,0.916121,44.05
4,9,9.222e-05,0.123516,0.952299,0.098306,0.963905,0.9642,0.993892,0.971821,0.955983,0.956698,0.971349,0.927926,0.92781,44.13
4,10,9.045e-05,0.109932,0.959691,0.081763,0.968718,0.969037,0.996339,0.978694,0.958735,0.959569,0.978246,0.937621,0.937435,43.87
4,11,8.853e-05,0.096806,0.962097,0.07679,0.972499,0.9729,0.996864,0.986942,0.958047,0.959252,0.986544,0.945392,0.944998,44.26
4,12,8.645e-05,0.088064,0.966309,0.138281,0.950155,0.95235,0.997127,0.995876,0.904402,0.912469,0.995458,0.904094,0.900306,44.04
4,13,8.423e-05,0.079504,0.969403,0.059365,0.977656,0.977671,0.997763,0.978007,0.977304,0.977335,0.977977,0.955311,0.955311,44.3
4,14,8.187e-05,0.073383,0.971465,0.074324,0.971812,0.972483,0.998312,0.995876,0.94773,0.950164,0.995665,0.944717,0.943622,45.19
4,15,7.939e-05,0.06765,0.975591,0.068406,0.974905,0.975396,0.998309,0.994502,0.955296,0.957011,0.994273,0.95054,0.94981,43.89
4,16,7.679e-05,0.056478,0.980146,0.10412,0.966311,0.967158,0.996677,0.991753,0.940853,0.943754,0.991304,0.933831,0.932622,43.75
